"AQI_Bucket","PM2.5","AQI"
"Poor","46.17","286"
"Very Poor","61.24","337"
"Poor","41.81","249"
"Very Poor","55.09","376"
"Severe","65.54","415"
"Poor","41.04","228"
"Poor","49.71","266"
"Poor","44.75","257"
"Severe","45.84","409"
"Severe","76.36","524"
"Poor","44.79","222"
"Very Poor","50.16","332"
"Poor","49.07","272"
"Poor","46.06","232"
"Poor","52.82","247"
"Poor","53.39","254"
"Poor","59.44","236"
"Poor","71.01","273"
"Poor","59.98","273"
"Poor","50.7","256"
"Poor","69.87","217"
"Poor","61.53","291"
"Very Poor","67.03","314"
"Very Poor","43.37","355"
"Severe","60.05","587"
"Severe","56.93","535"
"Very Poor","44.14","366"
"Severe","69","404"
"","43.53",""
"","16.63",""
"Very Poor","78.16","355"
"Very Poor","83.27","338"
"Very Poor","63.79","351"
"Poor","50.27","280"
"Poor","51.54","297"
"Very Poor","54.35","319"
"Poor","53.59","247"
"Very Poor","55.77","321"
"Very Poor","63.58","319"
"Very Poor","103.08","345"
"Severe","78.25","492"
"Severe","77.84","491"
"Severe","69.99","503"
"Severe","78.7","523"
"Severe","59.96","539"
"Severe","48.27","492"
"Severe","44.81","513"
"Severe","55.21","497"
"Severe","40.89","433"
"Severe","41.59","484"
"Severe","39.02","471"
"Severe","33.5","502"
"Severe","39.42","495"
"Severe","46.84","486"
"Severe","51.63","524"
"Severe","38.12","556"
"Severe","27.79","508"
"Severe","36.27","413"
"Severe","76.41","421"
"Very Poor","62.72","400"
"Very Poor","48.12","361"
"Very Poor","36.8","385"
"Severe","41.37","428"
"Severe","302.08","440"
"Severe","37.15","510"
"Severe","59.76","513"
"Very Poor","71.94","365"
"Very Poor","47.95","336"
"Very Poor","55.91","377"
"Severe","72.06","442"
"Severe","127.23","421"
"Severe","127.37","428"
"Severe","36.42","472"
"Severe","40.97","478"
"Severe","33.38","422"
"Very Poor","33.51","347"
"Severe","29.56","461"
"Severe","21.89","447"
"Severe","44.87","486"
"Severe","33.16","510"
"Severe","45.25","576"
"Severe","48.95","485"
"Severe","42.89","488"
"Severe","48.36","613"
"Severe","51.7","577"
"Severe","43.18","474"
"Severe","35.8","458"
"Severe","37.76","428"
"Severe","38.1","429"
"Severe","39.43","461"
"Severe","51.78","450"
"Severe","63.4","453"
"Severe","58.21","459"
"Severe","47.83","468"
"Severe","53.64","424"
"Very Poor","48.18","366"
"Severe","56.75","465"
"Severe","41.21","434"
"Severe","37.33","470"
"Severe","28.74","455"
"Severe","34.05","489"
"Severe","28.94","431"
"Severe","25.06","402"
"Severe","32.05","469"
"Severe","44.02","476"
"Severe","48.73","459"
"Very Poor","43.54","342"
"Very Poor","28.66","311"
"Severe","31.01","467"
"Severe","33.95","429"
"Severe","33.7","490"
"Severe","48.21","445"
"Severe","40.66","499"
"Severe","38.65","482"
"Severe","49.47","527"
"Severe","33.2","556"
"Severe","34.52","482"
"Severe","44.57","597"
"Severe","58.92","491"
"Severe","51.03","460"
"Severe","45.77","510"
"Severe","38.22","623"
"Severe","34.44","577"
"Severe","28.8","440"
"","",""
"","114.85",""
"","20.8",""
"Severe","22.14","520"
"Severe","19.66","518"
"Severe","22.3","524"
"Severe","22.33","576"
"Severe","18.54","688"
"Severe","17.91","521"
"Severe","16.28","447"
"Severe","21.06","477"
"Severe","20.82","481"
"Severe","18.18","500"
"Severe","21.41","530"
"Severe","24.51","696"
"Severe","28.15","580"
"Severe","23.65","546"
"Severe","25.32","631"
"Severe","25.87","876"
"Severe","22.62","493"
"Severe","21.12","410"
"Very Poor","21.79","398"
"Severe","18.87","457"
"Severe","22.11","428"
"Severe","24.07","413"
"Severe","25.9","680"
"Severe","29.8","787"
"Severe","29.37","862"
"Severe","33.95","951"
"Severe","31.13","712"
"Severe","58.28","483"
"Very Poor","63.92","379"
"Poor","73.89","214"
"Severe","79.37","508"
"Severe","78.64","713"
"Severe","122.92","688"
"Severe","160.05","844"
"Severe","113.9","786"
"Severe","126.66","664"
"Severe","116.02","914"
"Severe","96.65","536"
"Severe","110.05","403"
"Severe","109.84","427"
"Severe","140.06","685"
"Severe","109.11","558"
"Severe","107.26","487"
"Severe","105.87","453"
"Severe","101.86","559"
"Severe","96.15","1291"
"Severe","88.58","1350"
"Severe","129.98","1561"
"Severe","103.71","906"
"Severe","121.11","824"
"Severe","82.49","578"
"Moderate","72.93","161"
"Severe","94.08","849"
"Severe","82.88","574"
"Severe","88.69","509"
